game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2012-10-25,2012,8,Vikings,Buccaneers,17,36,U.S. Bank Stadium,0,0,0,dome,Minnesota Vikings,-5.5,43.0,1,16,23,21,140,1,41,159,1,19,35,251,1,1,19,36,262,3,0,3,22,1,5,229,257,369,416,3,2,1,0,3,0,5,32,4,49,5,13,8,17,0,1,0,0,1335,2265
2012-10-28,2012,8,Steelers,Redskins,27,12,Heinz Field,45,10,88,outdoors,Pittsburgh Steelers,-4.5,44.0,0,25,17,27,140,0,21,86,0,24,33,222,3,0,16,35,177,1,0,1,7,1,8,215,169,355,255,0,0,1,0,0,0,3,20,7,55,4,11,3,12,1,2,2,3,1993,1607
2012-10-28,2012,8,Bears,Panthers,23,22,Soldier Field,49,18,51,outdoors,Chicago Bears,-7.5,41.5,1,18,21,19,79,1,36,119,0,19,28,186,1,1,20,39,314,0,2,6,55,2,17,131,297,210,416,2,2,2,0,3,2,5,40,3,21,2,8,10,19,0,0,1,1,1402,2198
2012-10-28,2012,8,Lions,Seahawks,28,24,Ford Field,0,0,0,dome,Detroit Lions,-3.0,42.5,1,26,21,22,84,1,19,133,1,34,49,352,3,1,25,35,236,2,1,2,21,0,0,331,236,415,369,0,0,1,1,1,2,5,61,2,10,12,16,3,9,0,0,1,1,2083,1517
2012-10-28,2012,8,Eagles,Falcons,17,30,Lincoln Financial Field,58,16,75,outdoors,Philadelphia Eagles,-3.0,43.0,1,20,24,24,92,1,37,146,0,21,35,191,1,0,22,29,262,3,0,3,13,2,16,178,246,270,392,2,0,1,0,0,0,6,57,6,40,6,13,7,13,1,3,0,1,1625,1975
2012-10-28,2012,8,Packers,Jaguars,24,15,Lambeau Field,44,10,47,outdoors,Green Bay Packers,-16.0,45.5,0,20,18,26,66,0,20,62,0,22,36,186,2,0,27,49,303,1,0,2,14,2,24,172,279,238,341,1,1,3,1,1,1,5,33,7,77,5,13,5,16,0,1,0,2,1752,1848
2012-10-28,2012,8,Rams,Patriots,7,45,Wembley Stadium,49,9,84,outdoors,New England Patriots,-7.0,46.0,1,17,29,23,107,0,28,152,2,23,32,244,1,2,24,38,321,4,0,2,25,0,0,219,321,326,473,2,0,0,0,2,0,12,102,8,42,3,10,7,12,1,3,1,1,1866,1734
2012-10-28,2012,8,Browns,Chargers,7,6,FirstEnergy Stadium,44,19,89,outdoors,San Diego Chargers,-3.0,41.0,0,15,17,33,133,1,34,117,0,11,27,129,0,0,18,34,154,0,0,2,12,1,6,117,148,250,265,2,0,2,1,0,1,4,35,3,15,4,15,6,16,1,1,0,2,1748,1852
2012-10-28,2012,8,Jets,Dolphins,9,30,MetLife Stadium,60,9,62,outdoors,New York Jets,-1.0,39.0,0,22,14,21,105,0,33,97,1,28,54,283,1,1,13,24,149,1,0,4,25,2,10,258,139,363,236,1,1,1,1,2,1,5,45,4,31,5,17,4,13,2,3,0,0,1873,1727
2012-10-28,2012,8,Titans,Colts,13,19,Nissan Stadium,52,18,49,outdoors,Tennessee Titans,-3.0,47.0,0,20,30,25,112,0,34,171,1,22,29,236,1,0,26,38,297,1,1,2,9,2,11,227,286,339,457,1,0,2,0,0,1,8,65,5,45,5,11,6,12,0,0,1,1,1853,2036
2012-10-28,2012,8,Chiefs,Raiders,16,26,Arrowhead Stadium,50,3,40,outdoors,Kansas City Chiefs,-1.0,42.5,0,17,15,22,102,0,34,135,0,22,34,219,1,2,14,28,209,2,1,3,22,0,0,197,209,299,344,3,2,0,0,4,1,5,40,2,20,4,13,2,12,0,0,0,0,1862,1738
2012-10-28,2012,8,Cowboys,Giants,24,29,Cowboys Stadium,0,0,0,retractable roof (open),New York Giants,-2.5,48.0,1,28,11,17,19,2,28,103,1,36,62,437,1,4,15,29,192,0,1,4,22,1,2,415,190,434,293,4,2,1,1,6,2,2,10,5,45,7,14,3,15,1,2,0,0,1938,1662
2012-10-28,2012,8,Broncos,Saints,34,14,Empower Field at Mile High,59,5,30,outdoors,Denver Broncos,-6.5,55.0,0,29,14,41,225,1,17,51,0,22,30,305,3,0,22,42,213,2,1,0,0,1,12,305,201,530,252,2,1,1,0,1,1,5,34,3,15,5,13,1,12,0,0,2,3,2114,1486
2012-10-29,2012,8,Cardinals,49ers,3,24,State Farm Stadium,0,0,0,retractable roof (closed),San Francisco 49ers,-7.0,38.5,0,16,15,9,7,0,29,113,0,32,52,290,0,1,18,19,232,3,0,4,32,4,28,258,204,265,317,0,0,0,0,1,0,7,51,10,80,2,14,6,12,2,4,0,0,1724,1876
