game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2005-10-21,2005,7,Dolphins,Chiefs,20,30,Hard Rock Stadium,78,15,81,outdoors,-1.0,42.5,1,0,0,2,2,1225,0.033,0.059,0.035,0.03,0.034,0.033,0.04,0.064,0.037,0.01,0.029,0.029,0.027,0.037,0.031,0.021,0.044,0.037,0.038,0.028,0.025,0.032,0.037,0.039,0.03,0.029,0.034,0.026,0.036,0.033,0.016,0.044,0.049,0.018,0
2005-10-23,2005,7,Vikings,Packers,23,20,U.S. Bank Stadium,0,0,0,dome,-2.0,46.0,0,1,1,0,1,257,0.018,0.022,0.037,0.043,0.023,0.012,0.013,0.016,0.034,0.049,0.032,0.057,0.028,0.018,0.046,0.018,0.02,0.03,0.033,0.023,0.042,0.025,0.029,0.029,0.044,0.035,0.031,0.047,0.025,0.016,0.025,0.029,0.036,0.025,1
2005-10-23,2005,7,Bengals,Steelers,13,27,Paul Brown Stadium,47,6,89,outdoors,-3.0,43.0,0,1,0,0,0,257,0.036,0.053,0.031,0.023,0.026,0.037,0.019,0.057,0.03,0.008,0.016,0.017,0.047,0.047,0.024,0.02,0.033,0.053,0.03,0.028,0.042,0.056,0.034,0.038,0.028,0.04,0.025,0.029,0.034,0.034,0.031,0.059,0.026,0.019,0
2005-10-23,2005,7,Rams,Saints,28,17,The Dome at America's Center,0,0,0,dome,-5.0,50.0,0,0,1,2,0,600,0.017,0.016,0.062,0.037,0.022,0.025,0.013,0.02,0.062,0.048,0.058,0.06,0.013,0.033,0.077,0.046,0.025,0.023,0.031,0.044,0.025,0.027,0.032,0.032,0.032,0.035,0.045,0.037,0.037,0.011,0.029,0.026,0.026,0.041,1
2005-10-23,2005,7,Eagles,Chargers,20,17,Lincoln Financial Field,53,17,45,outdoors,-4.0,47.0,0,0,0,1,0,2362,0.036,0.058,0.049,0.018,0.018,0.039,0.024,0.059,0.043,0.007,0.037,0.023,0.03,0.034,0.035,0.012,0.028,0.062,0.03,0.029,0.026,0.027,0.02,0.041,0.042,0.039,0.013,0.036,0.043,0.057,0.026,0.037,0.038,0.014,1
2005-10-23,2005,7,Redskins,49ers,52,17,FedExField,60,4,47,outdoors,-11.5,38.0,1,0,0,0,1,2443,0.02,0.006,0.024,0.026,0.024,0.065,0.032,0.015,0.016,0.054,0.038,0.05,0.025,0.012,0.033,0.065,0.026,0.013,0.037,0.023,0.028,0.032,0.026,0.03,0.028,0.032,0.027,0.019,0.035,0.023,0.045,0.016,0.019,0.048,1
2005-10-23,2005,7,Texans,Colts,20,38,Reliant Stadium,0,0,0,retractable roof (closed),-14.5,44.5,1,1,1,0,2,871,0.016,0.064,0.01,0.036,0.036,0.02,0.022,0.031,0.033,0.029,0.027,0.015,0.024,0.043,0.044,0.012,0.009,0.067,0.026,0.017,0.024,0.03,0.037,0.019,0.02,0.043,0.045,0.013,0.024,0.036,0.024,0.024,0.047,0.026,0
2005-10-23,2005,7,Browns,Lions,10,13,FirstEnergy Stadium,47,5,70,outdoors,-3.0,36.0,0,0,0,0,0,90,0.016,0.016,0.026,0.023,0.026,0.056,0.01,0.013,0.043,0.036,0.027,0.028,0.021,0.028,0.035,0.023,0.021,0.025,0.03,0.023,0.029,0.036,0.022,0.025,0.032,0.023,0.028,0.04,0.032,0.023,0.015,0.016,0.052,0.035,0
2005-10-23,2005,7,Seahawks,Cowboys,13,10,Qwest Field,55,1,92,outdoors,-3.0,45.5,0,0,0,0,0,1892,0.039,0.024,0.036,0.044,0.025,0.023,0.04,0.028,0.023,0.035,0.021,0.04,0.034,0.016,0.017,0.033,0.024,0.023,0.043,0.024,0.041,0.042,0.016,0.034,0.044,0.02,0.034,0.034,0.047,0.035,0.03,0.045,0.031,0.017,1
2005-10-23,2005,7,Cardinals,Titans,20,10,Sun Devil Stadium,83,5,28,outdoors,-3.0,45.0,0,0,0,1,0,1436,0.012,0.015,0.072,0.027,0.04,0.027,0.014,0.022,0.05,0.037,0.033,0.026,0.015,0.019,0.038,0.02,0.018,0.028,0.036,0.043,0.027,0.02,0.046,0.038,0.012,0.014,0.027,0.047,0.029,0.012,0.037,0.045,0.033,0.022,1
